flyid,name,bitterGRN_175Hz
720575940602353632,bitter_L_1,175.0
720575940604027168,bitter_L_2,168.6
720575940605158572,,28.5
720575940608601355,,3.7666666666666666
720575940610259370,bitter_L_3,172.03333333333333
720575940610481370,bitter_L_4,168.06666666666666
720575940610483162,bitter_L_5,170.4
720575940610491694,,9.1
720575940610609454,,5.6
720575940610690372,,60.03333333333333
720575940610708430,,0.9666666666666667
720575940610956334,,16.533333333333335
720575940611149922,,33.333333333333336
720575940613061118,bitter_L_6,171.4
720575940614139089,,42.96666666666667
720575940614281266,bitter_L_7,177.33333333333334
720575940614418794,,10.966666666666667
720575940614635175,,142.23333333333332
720575940614736290,,24.7
720575940614965691,,17.1
720575940615292895,,17.333333333333332
720575940615495839,,7.6
720575940616217403,,0.06666666666666667
720575940617094208,bitter_L_8,174.93333333333334
720575940618600651,bitter_L_9,172.8
720575940619028208,bitter_L_10,170.8
720575940619197093,bitter_L_11,171.7
720575940619247424,,1.7666666666666666
720575940619453831,,13.433333333333334
720575940619559838,,5.233333333333333
720575940620062288,,76.73333333333333
720575940620262465,,9.233333333333333
720575940620441024,,0.36666666666666664
720575940620553094,,141.16666666666666
720575940621008895,bitter_L_12,172.5
720575940621089741,,43.36666666666667
720575940621442124,,15.433333333333334
720575940621490721,,0.6
720575940621736669,,16.0
720575940621778381,bitter_L_13,168.16666666666666
720575940621902085,,21.4
720575940622154266,,15.2
720575940622298631,bitter_L_14,168.4
720575940622537477,,39.266666666666666
720575940622541005,,18.033333333333335
720575940623154712,,41.766666666666666
720575940623208141,,37.36666666666667
720575940623381286,,71.3
720575940623986364,,4.2
720575940624253991,,38.46666666666667
720575940624273149,,34.06666666666667
720575940624600840,,117.16666666666667
720575940625339981,,6.233333333333333
720575940625728551,,63.63333333333333
720575940626287336,bitter_L_15,174.96666666666667
720575940626375164,,6.7
720575940626390018,,28.833333333333332
720575940626741891,,16.933333333333334
720575940627578156,bitter_L_16,173.23333333333332
720575940627709956,,46.53333333333333
720575940627827697,,2.466666666666667
720575940628024107,,22.3
720575940628386295,,23.566666666666666
720575940628683063,,77.76666666666667
720575940629146711,bitter_L_17,175.1
720575940630195909,bitter_L_18,169.93333333333334
720575940630670890,,0.9
720575940630686060,,5.4
720575940630999493,,30.966666666666665
720575940631092943,,0.2
720575940632556831,,27.733333333333334
720575940632636959,,21.766666666666666
720575940632873261,,7.4
720575940634788247,,43.166666666666664
720575940634844408,,11.4
720575940635210859,,25.7
720575940635925615,,34.833333333333336
720575940637742150,,52.8
720575940637788137,,26.5
720575940638557312,,77.56666666666666
720575940638604915,,8.766666666666667
720575940641536987,,26.1
720575940645743412,bitter_L_19,171.13333333333333
720575940646212996,bitter_L_20,170.23333333333332
720575940647473796,,25.933333333333334
