flyid,name,IR94eGRN_125Hz
720575940610550830,,0.03333333333333333
720575940610683315,IR94e_L_1,124.3
720575940611755157,,0.7
720575940612920386,IR94e_L_2,122.16666666666667
720575940614128691,,10.633333333333333
720575940614211295,IR94e_L_3,122.7
720575940614635175,,102.13333333333334
720575940620553094,,109.1
720575940621218694,,69.2
720575940621375231,IR94e_L_4,124.23333333333333
720575940621953285,,85.9
720575940624079544,IR94e_L_5,122.43333333333334
720575940624234254,,41.96666666666667
720575940626016017,IR94e_L_6,121.73333333333333
720575940628198503,IR94e_L_7,123.76666666666667
720575940628683063,,5.433333333333334
720575940631082124,IR94e_L_8,122.46666666666667
720575940631092943,,134.83333333333334
720575940631448874,,0.6
720575940634090777,,0.16666666666666666
720575940637956698,,27.033333333333335
720575940638218173,IR94e_L_9,121.23333333333333
720575940642335373,,0.9
