flyid,name,sugarGRN_50Hz
720575940605513649,,0.7666666666666667
720575940605658033,,3.8333333333333335
720575940605682790,,1.3333333333333333
720575940606607234,,3.2666666666666666
720575940606852018,,0.03333333333333333
720575940606866377,,18.866666666666667
720575940607193986,,6.766666666666667
720575940607250610,,0.36666666666666664
720575940607272649,,9.766666666666667
720575940607386290,,1.7333333333333334
720575940607451081,,7.4
720575940607689394,,0.06666666666666667
720575940608349379,,0.7333333333333333
720575940608498780,,2.7666666666666666
720575940608735241,,1.5333333333333334
720575940609016843,,0.7333333333333333
720575940609133269,,0.23333333333333334
720575940609405635,,0.8333333333333334
720575940609407939,,7.1
720575940609915204,,3.3333333333333335
720575940609935172,,2.6666666666666665
720575940609939780,,0.3333333333333333
720575940609993284,,2.566666666666667
720575940610000964,,0.5333333333333333
720575940610001220,,1.3666666666666667
720575940610054980,,5.366666666666666
720575940610173048,,0.03333333333333333
720575940610232274,,0.3
720575940610258552,,3.2
720575940610611246,,0.26666666666666666
720575940610621026,,1.4666666666666666
720575940610677828,,5.333333333333333
720575940610788069,sugar_L_1,50.46666666666667
720575940610803554,,1.1666666666666667
720575940610916465,,0.2
720575940611015122,,0.16666666666666666
720575940611160930,,2.466666666666667
720575940611164770,,0.1
720575940611436408,,2.5
720575940611548878,,2.6333333333333333
720575940611772083,,0.03333333333333333
720575940611875570,sugar_L_2,49.86666666666667
720575940611988197,,0.03333333333333333
720575940612036837,,12.466666666666667
720575940612064113,,13.1
720575940612208858,,0.6666666666666666
720575940612289010,,0.03333333333333333
720575940612357618,,1.7666666666666666
720575940612364530,,0.26666666666666666
720575940612423922,,17.066666666666666
720575940612537061,,0.2
720575940612558061,,4.366666666666666
720575940612603289,,1.3
720575940612611301,,22.6
720575940612670570,sugar_L_3,46.63333333333333
720575940612692633,,16.2
720575940612766515,,0.7333333333333333
720575940612888178,,4.133333333333334
720575940612906518,,26.166666666666668
720575940612952557,,0.23333333333333334
720575940613004402,,1.4
720575940613347299,,4.333333333333333
720575940613601698,sugar_L_4,48.766666666666666
720575940613670893,,0.5
720575940613687789,,2.0
720575940613743569,,0.23333333333333334
720575940613929391,,1.8666666666666667
720575940613943215,,0.3
720575940614128691,,2.3333333333333335
720575940614187006,,0.1
720575940614352278,,0.4666666666666667
720575940614386070,,0.2
720575940614660519,,0.03333333333333333
720575940614730914,,4.0
720575940614763666,,35.7
720575940614909506,,1.5666666666666667
720575940615041430,,37.7
720575940615052812,,0.16666666666666666
720575940615153494,,0.2
720575940615296818,,1.7
720575940615564959,,0.3333333333333333
720575940615623867,,0.1
720575940615671106,,15.7
720575940615715003,,2.8333333333333335
720575940615811670,,0.13333333333333333
720575940616018956,,9.433333333333334
720575940616103218,,28.533333333333335
720575940616466260,,6.9
720575940616644411,,3.7666666666666666
720575940616857174,,6.9
720575940616860758,,0.03333333333333333
720575940616864086,,5.366666666666666
720575940616864217,,6.166666666666667
720575940616885538,sugar_L_5,53.166666666666664
