flyid,name,waterGRN_50Hz
720575940606002609,water_L_1,51.733333333333334
720575940611858906,,28.066666666666666
720575940612579053,water_L_2,49.3
720575940612648106,,31.866666666666667
720575940612950568,water_L_3,47.53333333333333
720575940613786774,water_L_4,49.0
720575940613996959,water_L_5,51.1
720575940616103218,,57.733333333333334
720575940616177458,water_L_6,49.766666666666666
720575940617593233,,0.06666666666666667
720575940617857694,water_L_7,51.46666666666667
720575940618696989,,0.3
720575940619588568,,1.4666666666666666
720575940619696731,,0.36666666666666664
720575940619973712,,1.0333333333333334
720575940620061793,,18.433333333333334
720575940620260773,,12.0
720575940620445062,,52.53333333333333
720575940620633070,,1.2666666666666666
720575940620874757,,0.03333333333333333
720575940622335197,,0.03333333333333333
720575940622486922,water_L_8,48.666666666666664
720575940622541005,,0.03333333333333333
720575940622902535,water_L_9,48.86666666666667
720575940623617973,,0.36666666666666664
720575940624247787,,9.4
720575940625203504,water_L_10,47.86666666666667
720575940625861168,water_L_11,49.93333333333333
720575940627404858,,0.03333333333333333
720575940627419155,,4.333333333333333
720575940627582724,,16.966666666666665
720575940627679765,,21.966666666666665
720575940628478736,,51.833333333333336
720575940628784066,,0.1
720575940629852866,water_L_12,48.5
720575940629888530,,47.766666666666666
720575940630166583,,19.0
720575940630347628,,11.333333333333334
720575940630553415,water_L_13,47.06666666666667
720575940630689644,,0.1
720575940631309866,,1.5666666666666667
720575940631898285,water_L_14,49.56666666666667
720575940632648612,,39.63333333333333
720575940632877869,,18.233333333333334
720575940633170969,,32.233333333333334
720575940634796536,water_L_15,47.86666666666667
720575940635172191,water_L_16,49.56666666666667
720575940637763135,,0.7333333333333333
720575940639274147,,60.13333333333333
720575940641366517,,34.233333333333334
720575940644965399,water_L_17,47.1
720575940655014049,,34.46666666666667
720575940660292225,water_L_18,50.333333333333336
