flyid,name,bitterGRN_100Hz
720575940602353632,bitter_L_1,96.46666666666667
720575940604027168,bitter_L_2,97.96666666666667
720575940605158572,,5.566666666666666
720575940610259370,bitter_L_3,97.56666666666666
720575940610481370,bitter_L_4,101.1
720575940610483162,bitter_L_5,101.03333333333333
720575940610491694,,0.03333333333333333
720575940610690372,,31.166666666666668
720575940610956334,,0.03333333333333333
720575940611149922,,6.933333333333334
720575940613061118,bitter_L_6,99.73333333333333
720575940614139089,,16.4
720575940614281266,bitter_L_7,101.9
720575940614635175,,108.93333333333334
720575940614736290,,4.8
720575940614965691,,1.2666666666666666
720575940615292895,,0.36666666666666664
720575940617094208,bitter_L_8,98.23333333333333
720575940618600651,bitter_L_9,95.06666666666666
720575940619028208,bitter_L_10,99.03333333333333
720575940619197093,bitter_L_11,98.66666666666667
720575940619453831,,0.16666666666666666
720575940620062288,,46.3
720575940620553094,,108.4
720575940621008895,bitter_L_12,103.13333333333334
720575940621089741,,15.366666666666667
720575940621736669,,0.23333333333333334
720575940621778381,bitter_L_13,98.16666666666667
720575940621902085,,0.4
720575940622298631,bitter_L_14,98.6
720575940622537477,,13.166666666666666
720575940622541005,,0.06666666666666667
720575940623154712,,13.5
720575940623208141,,11.2
720575940623381286,,43.13333333333333
720575940624253991,,12.4
720575940624273149,,9.733333333333333
720575940624600840,,85.06666666666666
720575940625728551,,35.43333333333333
720575940626287336,bitter_L_15,100.5
720575940626390018,,1.7666666666666666
720575940626741891,,0.3333333333333333
720575940627578156,bitter_L_16,99.7
720575940627709956,,17.933333333333334
720575940628024107,,0.2
720575940628386295,,5.533333333333333
720575940628683063,,48.56666666666667
720575940629146711,bitter_L_17,97.96666666666667
720575940630195909,bitter_L_18,99.43333333333334
720575940630999493,,4.933333333333334
720575940632556831,,6.033333333333333
720575940632636959,,2.1666666666666665
720575940634788247,,17.866666666666667
720575940635210859,,0.7666666666666667
720575940635925615,,7.4
720575940637742150,,25.933333333333334
720575940637788137,,3.3333333333333335
720575940638557312,,50.53333333333333
720575940641536987,,2.5
720575940645743412,bitter_L_19,96.06666666666666
720575940646212996,bitter_L_20,97.53333333333333
720575940647473796,,2.5
