flyid,name,bitterGRN_125Hz
720575940602353632,bitter_L_1,124.46666666666667
720575940604027168,bitter_L_2,122.43333333333334
720575940605158572,,13.7
720575940608601355,,0.03333333333333333
720575940610259370,bitter_L_3,124.8
720575940610481370,bitter_L_4,120.4
720575940610483162,bitter_L_5,125.1
720575940610491694,,0.43333333333333335
720575940610609454,,0.03333333333333333
720575940610690372,,42.233333333333334
720575940610956334,,1.2666666666666666
720575940611149922,,16.133333333333333
720575940613061118,bitter_L_6,120.63333333333334
720575940614139089,,26.833333333333332
720575940614281266,bitter_L_7,123.03333333333333
720575940614418794,,0.23333333333333334
720575940614635175,,121.76666666666667
720575940614736290,,12.6
720575940614965691,,6.4
720575940615292895,,2.9
720575940615495839,,0.3
720575940617094208,bitter_L_8,124.86666666666666
720575940618600651,bitter_L_9,122.53333333333333
720575940619028208,bitter_L_10,122.16666666666667
720575940619197093,bitter_L_11,124.3
720575940619453831,,2.5
720575940620062288,,57.666666666666664
720575940620553094,,120.9
720575940621008895,bitter_L_12,125.46666666666667
720575940621089741,,27.333333333333332
720575940621442124,,0.9666666666666667
720575940621736669,,2.8666666666666667
720575940621778381,bitter_L_13,119.9
720575940621902085,,4.533333333333333
720575940622154266,,0.23333333333333334
720575940622298631,bitter_L_14,121.53333333333333
720575940622537477,,23.266666666666666
720575940622541005,,3.2
720575940623154712,,25.3
720575940623208141,,21.766666666666666
720575940623381286,,54.266666666666666
720575940624253991,,22.366666666666667
720575940624273149,,18.933333333333334
720575940624600840,,96.46666666666667
720575940625339981,,0.3333333333333333
720575940625728551,,46.03333333333333
720575940626287336,bitter_L_15,121.53333333333333
720575940626375164,,0.2
720575940626390018,,10.833333333333334
720575940626741891,,3.7333333333333334
720575940627578156,bitter_L_16,124.9
720575940627709956,,29.6
720575940628024107,,4.6
720575940628386295,,12.666666666666666
720575940628683063,,60.666666666666664
720575940629146711,bitter_L_17,121.9
720575940630195909,bitter_L_18,125.26666666666667
720575940630686060,,0.03333333333333333
720575940630999493,,14.9
720575940632556831,,13.766666666666667
720575940632636959,,9.2
720575940632873261,,0.03333333333333333
720575940634788247,,26.966666666666665
720575940634844408,,0.5666666666666667
720575940635210859,,8.0
720575940635925615,,18.333333333333332
720575940637742150,,36.8
720575940637788137,,11.7
720575940638557312,,60.666666666666664
720575940638604915,,0.8333333333333334
720575940641536987,,10.5
720575940645743412,bitter_L_19,125.53333333333333
720575940646212996,bitter_L_20,121.23333333333333
720575940647473796,,10.4
