flyid,name,IR94eGRN_25Hz
720575940610683315,IR94e_L_1,25.433333333333334
720575940612920386,IR94e_L_2,25.166666666666668
720575940614211295,IR94e_L_3,24.0
720575940614635175,,25.4
720575940620553094,,32.1
720575940621218694,,4.566666666666666
720575940621375231,IR94e_L_4,26.333333333333332
720575940621953285,,12.266666666666667
720575940624079544,IR94e_L_5,24.366666666666667
720575940624234254,,2.2333333333333334
720575940626016017,IR94e_L_6,26.4
720575940628198503,IR94e_L_7,24.3
720575940631082124,IR94e_L_8,23.833333333333332
720575940631092943,,48.6
720575940638218173,IR94e_L_9,24.6
