flyid,name,IR94eGRN_100Hz
720575940610683315,IR94e_L_1,97.93333333333334
720575940611755157,,0.03333333333333333
720575940612920386,IR94e_L_2,97.7
720575940614128691,,5.166666666666667
720575940614211295,IR94e_L_3,99.1
720575940614635175,,89.36666666666666
720575940620553094,,97.1
720575940621218694,,59.0
720575940621375231,IR94e_L_4,100.26666666666667
720575940621953285,,73.76666666666667
720575940624079544,IR94e_L_5,98.0
720575940624234254,,31.166666666666668
720575940626016017,IR94e_L_6,99.96666666666667
720575940628198503,IR94e_L_7,98.63333333333334
720575940628683063,,0.7
720575940631082124,IR94e_L_8,101.53333333333333
720575940631092943,,121.96666666666667
720575940631448874,,0.03333333333333333
720575940637956698,,17.966666666666665
720575940638218173,IR94e_L_9,100.06666666666666
720575940642335373,,0.03333333333333333
