flyid,name,waterGRN_100Hz
720575940605162924,,2.2
720575940606002609,water_L_1,100.23333333333333
720575940611549902,,6.1
720575940611858906,,46.4
720575940612036837,,0.03333333333333333
720575940612579053,water_L_2,100.9
720575940612611301,,0.03333333333333333
720575940612648106,,64.73333333333333
720575940612950568,water_L_3,99.9
720575940613786774,water_L_4,97.9
720575940613898449,,3.433333333333333
720575940613996959,water_L_5,101.23333333333333
720575940614128691,,14.0
720575940614467751,,2.9
720575940614483879,,8.9
720575940614660519,,0.36666666666666664
720575940615041430,,0.03333333333333333
720575940616103218,,94.43333333333334
720575940616167730,,11.8
720575940616177458,water_L_6,98.56666666666666
720575940616673366,,8.133333333333333
720575940617593233,,15.466666666666667
720575940617755220,,11.8
720575940617857694,water_L_7,97.96666666666667
720575940618696989,,20.933333333333334
720575940618936710,,11.8
720575940619588568,,27.833333333333332
720575940619696731,,21.733333333333334
720575940619973712,,17.433333333333334
720575940620061793,,45.3
720575940620260773,,27.866666666666667
720575940620441024,,6.466666666666667
720575940620445062,,87.4
720575940620633070,,19.366666666666667
720575940620874757,,5.466666666666667
720575940621329328,,0.5
720575940621771041,,15.733333333333333
720575940622335197,,12.866666666666667
720575940622486922,water_L_8,102.03333333333333
720575940622541005,,16.466666666666665
720575940622695448,,0.16666666666666666
720575940622869799,,0.2
720575940622902535,water_L_9,100.23333333333333
720575940623260415,,3.466666666666667
720575940623617973,,21.866666666666667
720575940624014483,,8.9
720575940624247787,,17.433333333333334
720575940625203504,water_L_10,99.73333333333333
720575940625861168,water_L_11,100.93333333333334
720575940626191306,,10.566666666666666
720575940626476305,,0.06666666666666667
720575940627383685,,0.36666666666666664
720575940627404858,,12.0
720575940627419155,,27.333333333333332
720575940627582724,,37.63333333333333
720575940627679765,,43.233333333333334
720575940628114684,,0.4666666666666667
720575940628478736,,80.43333333333334
720575940628784066,,16.2
720575940628972048,,0.06666666666666667
720575940629744599,,0.03333333333333333
720575940629852866,water_L_12,99.73333333333333
720575940629888530,,75.93333333333334
720575940630166583,,41.9
720575940630347628,,28.166666666666668
720575940630553415,water_L_13,100.2
720575940630689644,,13.9
720575940630996055,,6.933333333333334
720575940631243279,,1.9
720575940631309866,,26.2
720575940631703608,,0.03333333333333333
720575940631898285,water_L_14,99.43333333333334
720575940631959097,,0.03333333333333333
720575940632648612,,75.0
720575940632877869,,49.7
720575940633170969,,60.9
720575940633277209,,2.3666666666666667
720575940633356883,,4.633333333333334
720575940633518176,,0.9
720575940633674135,,0.6333333333333333
720575940634093337,,1.0
720575940634796536,water_L_15,97.83333333333333
720575940635172191,water_L_16,101.03333333333333
720575940635839077,,0.03333333333333333
720575940636053678,,7.4
720575940636346487,,0.2
720575940636828334,,0.03333333333333333
720575940637763135,,24.933333333333334
720575940638103349,,7.4
720575940639198653,,1.3333333333333333
720575940639274147,,95.46666666666667
720575940640032600,,2.6666666666666665
720575940641366517,,67.5
720575940644965399,water_L_17,98.86666666666666
720575940652580086,,10.366666666666667
720575940655014049,,65.56666666666666
720575940660292225,water_L_18,100.23333333333333
