flyid,name,IR94eGRN_75Hz
720575940610683315,IR94e_L_1,75.0
720575940612920386,IR94e_L_2,76.4
720575940614128691,,0.5
720575940614211295,IR94e_L_3,73.63333333333334
720575940614635175,,74.5
720575940620553094,,80.96666666666667
720575940621218694,,45.266666666666666
720575940621375231,IR94e_L_4,73.03333333333333
720575940621953285,,59.0
720575940624079544,IR94e_L_5,74.46666666666667
720575940624234254,,19.933333333333334
720575940626016017,IR94e_L_6,73.76666666666667
720575940628198503,IR94e_L_7,76.36666666666666
720575940631082124,IR94e_L_8,75.13333333333334
720575940631092943,,104.8
720575940637956698,,8.1
720575940638218173,IR94e_L_9,77.5
