flyid,name,IR94eGRN_50Hz
720575940610683315,IR94e_L_1,47.63333333333333
720575940612920386,IR94e_L_2,49.86666666666667
720575940614211295,IR94e_L_3,49.266666666666666
720575940614635175,,54.233333333333334
720575940620553094,,60.3
720575940621218694,,26.766666666666666
720575940621375231,IR94e_L_4,51.666666666666664
720575940621953285,,38.733333333333334
720575940624079544,IR94e_L_5,48.733333333333334
720575940624234254,,8.8
720575940626016017,IR94e_L_6,49.5
720575940628198503,IR94e_L_7,50.3
720575940631082124,IR94e_L_8,50.46666666666667
720575940631092943,,82.0
720575940637956698,,1.4333333333333333
720575940638218173,IR94e_L_9,50.166666666666664
