flyid,name,waterGRN_25Hz
720575940606002609,water_L_1,25.266666666666666
720575940611858906,,4.033333333333333
720575940612579053,water_L_2,24.266666666666666
720575940612648106,,6.7
720575940612950568,water_L_3,25.1
720575940613786774,water_L_4,24.166666666666668
720575940613996959,water_L_5,24.233333333333334
720575940616103218,,24.666666666666668
720575940616177458,water_L_6,24.533333333333335
720575940617857694,water_L_7,24.866666666666667
720575940620061793,,0.4666666666666667
720575940620260773,,0.13333333333333333
720575940620445062,,22.5
720575940622486922,water_L_8,23.833333333333332
720575940622902535,water_L_9,24.066666666666666
720575940624247787,,1.0333333333333334
720575940625203504,water_L_10,23.333333333333332
720575940625861168,water_L_11,23.6
720575940627582724,,0.8
720575940627679765,,3.1
720575940628478736,,22.166666666666668
720575940629852866,water_L_12,25.866666666666667
720575940629888530,,20.766666666666666
720575940630166583,,1.0333333333333334
720575940630347628,,0.2
720575940630553415,water_L_13,25.066666666666666
720575940631898285,water_L_14,25.633333333333333
720575940632648612,,8.4
720575940632877869,,0.5333333333333333
720575940633170969,,3.1
720575940634796536,water_L_15,24.3
720575940635172191,water_L_16,25.5
720575940639274147,,25.833333333333332
720575940641366517,,6.2
720575940644965399,water_L_17,25.166666666666668
720575940655014049,,12.433333333333334
720575940660292225,water_L_18,25.133333333333333
