,root_id,upstream_lowsalt_2Ns,lowsalt_syn_count,const,nt_type,side,input_synapses,output_synapses,excitatory_number_upstream_neurons,inhibitory_number_upstream_neurons,excitatory_number_input_synapse,inhibitory_number_input_synapse,excitatory - inhibitory_number_input_synapse,activation_25Hz,label,activation_50Hz,activation_75Hz,activation_100Hz,activation_125Hz,activation_150Hz,activation_175Hz,activation_200Hz,%_lowsalt_input,avg_upstream_synapses
136,720575940627815080,2,28,1,ACH,right,875.0,571.0,0,2,0,28,-28,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.2,14.0
137,720575940627847752,1,21,1,ACH,left,3229.0,2125.0,0,1,0,21,-21,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.6503561474140601,21.0
138,720575940628386295,1,73,1,ACH,left,838.0,1496.0,1,0,73,0,73,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,8.711217183770884,73.0
139,720575940628524150,1,11,1,ACH,left,63.0,366.0,0,1,0,11,-11,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,17.46031746031746,11.0
140,720575940628659305,1,10,1,SER,left,796.0,256.0,0,1,0,10,-10,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.256281407035176,10.0
141,720575940628755815,2,75,1,GABA,left,3085.0,1955.0,0,2,0,75,-75,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.4311183144246353,37.5
142,720575940629009468,2,123,1,ACH,left,174.0,702.0,0,2,0,123,-123,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,70.6896551724138,61.5
143,720575940629358807,2,59,1,ACH,left,217.0,1305.0,0,2,0,59,-59,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,27.188940092165897,29.5
144,720575940629481516,2,53,1,SER,right,78.0,183.0,0,2,0,53,-53,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,67.94871794871796,26.5
145,720575940629837563,1,11,1,ACH,right,1724.0,924.0,0,1,0,11,-11,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.6380510440835266,11.0
146,720575940629933559,1,10,1,GLUT,right,387.0,140.0,1,0,10,0,10,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.5839793281653747,10.0
147,720575940630181463,1,11,1,ACH,left,42.0,163.0,1,0,11,0,11,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,26.190476190476193,11.0
148,720575940630260439,1,14,1,GLUT,left,264.0,63.0,1,0,14,0,14,non activated,low salt,non activated,non activated,non activated,non activated,non activated,activated,activated,5.303030303030303,14.0
149,720575940630579574,2,98,1,ACH,left,2015.0,2079.0,0,2,0,98,-98,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,4.863523573200992,49.0
150,720575940630589036,2,27,1,GLUT,left,2490.0,1815.0,0,2,0,27,-27,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.0843373493975903,13.5
151,720575940630664556,1,21,1,GABA,left,3632.0,3275.0,0,1,0,21,-21,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.5781938325991189,21.0
152,720575940630670890,1,27,1,GLUT,left,812.0,939.0,1,0,27,0,27,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.32512315270936,27.0
153,720575940630674038,1,17,1,ACH,left,695.0,1689.0,0,1,0,17,-17,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.446043165467626,17.0
154,720575940630995799,2,40,1,ACH,right,289.0,143.0,0,2,0,40,-40,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,13.84083044982699,20.0
155,720575940631168057,2,29,1,GABA,left,1625.0,1344.0,0,2,0,29,-29,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.7846153846153845,14.5
156,720575940631204163,2,50,1,,right,115.0,142.0,0,2,0,50,-50,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,43.47826086956522,25.0
157,720575940631295506,1,31,1,ACH,left,417.0,1148.0,1,0,31,0,31,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,7.434052757793765,31.0
158,720575940631406411,1,21,1,GABA,left,2651.0,2575.0,0,1,0,21,-21,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.7921539041870993,21.0
159,720575940631703608,2,160,1,ACH,left,3076.0,1371.0,0,2,0,160,-160,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,5.201560468140442,80.0
160,720575940631959097,1,12,1,ACH,left,3915.0,1701.0,0,1,0,12,-12,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.30651340996168586,12.0
161,720575940631994728,2,52,1,GABA,left,2957.0,2643.0,0,2,0,52,-52,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.758539059857964,26.0
162,720575940631997032,2,88,1,ACH,left,2764.0,2015.0,0,2,0,88,-88,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.183791606367583,44.0
163,720575940632047890,2,102,1,ACH,left,4060.0,1406.0,0,2,0,102,-102,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.5123152709359604,51.0
164,720575940632252743,1,65,1,ACH,left,3711.0,1952.0,0,1,0,65,-65,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.751549447588251,65.0
165,720575940632280391,2,145,1,ACH,right,2214.0,1498.0,0,2,0,145,-145,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,6.549232158988256,72.5
166,720575940632369439,1,10,1,,left,601.0,151.0,1,0,10,0,10,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.6638935108153077,10.0
167,720575940632636959,1,63,1,GLUT,left,1564.0,855.0,1,0,63,0,63,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,4.028132992327365,63.0
168,720575940632659404,2,76,1,GABA,left,3231.0,1065.0,0,2,0,76,-76,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.352212937171154,38.0
169,720575940632701779,1,20,1,ACH,left,91.0,229.0,1,0,20,0,20,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,21.978021978021978,20.0
170,720575940632894690,2,24,1,,right,126.0,56.0,0,2,0,24,-24,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,19.047619047619047,12.0
171,720575940633170969,1,10,1,GLUT,left,3461.0,1592.0,0,1,0,10,-10,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.2889338341519792,10.0
172,720575940633185567,2,42,1,GABA,left,6252.0,10.0,0,2,0,42,-42,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.6717850287907869,21.0
173,720575940633277209,1,25,1,GABA,right,1343.0,1859.0,0,1,0,25,-25,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.8615040953090096,25.0
174,720575940633366242,1,11,1,ACH,left,49.0,359.0,0,1,0,11,-11,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,22.448979591836736,11.0
175,720575940633881848,1,16,1,GABA,left,551.0,701.0,0,1,0,16,-16,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.9038112522686026,16.0
176,720575940633926295,1,21,1,ACH,right,1946.0,1651.0,1,0,21,0,21,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.079136690647482,21.0
177,720575940633979799,2,24,1,ACH,left,180.0,201.0,2,0,24,0,24,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,13.333333333333334,12.0
178,720575940634186906,1,10,1,GLUT,right,167.0,125.0,0,1,0,10,-10,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,5.9880239520958085,10.0
179,720575940634462304,1,10,1,GLUT,right,298.0,131.0,0,1,0,10,-10,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.3557046979865772,10.0
180,720575940634739886,1,16,1,GLUT,right,79.0,464.0,0,1,0,16,-16,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,20.253164556962027,16.0
181,720575940634825623,1,14,1,ACH,left,1273.0,880.0,0,1,0,14,-14,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.0997643362136684,14.0
182,720575940635175007,1,15,1,DA,left,1419.0,446.0,0,1,0,15,-15,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.0570824524312896,15.0
183,720575940635179871,1,10,1,GABA,left,1453.0,1626.0,0,1,0,10,-10,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.6882312456985548,10.0
184,720575940635196779,1,11,1,GABA,right,501.0,607.0,1,0,11,0,11,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.19560878243513,11.0
185,720575940635206251,1,39,1,ACH,left,1533.0,2523.0,0,1,0,39,-39,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.5440313111545985,39.0
186,720575940635239672,2,48,1,SER,right,1855.0,55.0,0,2,0,48,-48,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.587601078167116,24.0
187,720575940635596468,1,15,1,ACH,left,668.0,1451.0,0,1,0,15,-15,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.245508982035928,15.0
188,720575940635611316,2,25,1,GABA,right,2883.0,2647.0,0,2,0,25,-25,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.8671522719389525,12.5
189,720575940635630308,1,10,1,ACH,right,78.0,327.0,0,1,0,10,-10,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,12.82051282051282,10.0
190,720575940635816926,1,10,1,ACH,right,725.0,268.0,0,1,0,10,-10,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.3793103448275863,10.0
191,720575940635870831,1,17,1,ACH,left,3350.0,1307.0,1,0,17,0,17,non activated,low salt,non activated,non activated,non activated,non activated,non activated,activated,activated,0.5074626865671642,17.0
192,720575940636165624,1,14,1,ACH,left,3318.0,1190.0,0,1,0,14,-14,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.42194092827004215,14.0
193,720575940636346487,1,12,1,ACH,left,1114.0,746.0,0,1,0,12,-12,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.0771992818671454,12.0
194,720575940636541285,2,184,1,ACH,left,2530.0,1468.0,0,2,0,184,-184,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,7.2727272727272725,92.0
195,720575940636685454,1,14,1,ACH,right,1410.0,955.0,0,1,0,14,-14,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.9929078014184398,14.0
196,720575940636828334,2,55,1,ACH,left,3397.0,1748.0,0,2,0,55,-55,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.619075654989697,27.5
197,720575940636895406,2,34,1,SER,left,1804.0,77.0,0,2,0,34,-34,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.8847006651884701,17.0
198,720575940637144944,1,59,1,ACH,left,3128.0,1666.0,0,1,0,59,-59,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.8861892583120203,59.0
199,720575940637507645,2,24,1,ACH,left,51.0,297.0,0,2,0,24,-24,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,47.05882352941176,12.0
200,720575940637686750,1,11,1,GABA,right,1403.0,1837.0,0,1,0,11,-11,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.7840342124019958,11.0
201,720575940637742911,1,10,1,SER,right,19.0,5.0,0,1,0,10,-10,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,52.63157894736842,10.0
202,720575940637747519,2,65,1,ACH,right,115.0,129.0,0,2,0,65,-65,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,56.52173913043478,32.5
203,720575940638024794,1,11,1,ACH,left,2190.0,1861.0,0,1,0,11,-11,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.502283105022831,11.0
204,720575940638103349,2,35,1,ACH,left,2088.0,1389.0,0,2,0,35,-35,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.6762452107279693,17.5
205,720575940638540221,2,31,1,GLUT,left,295.0,97.0,2,0,31,0,31,non activated,low salt,non activated,non activated,non activated,non activated,non activated,activated,activated,10.508474576271185,15.5
206,720575940639755984,1,13,1,ACH,left,92.0,173.0,1,0,13,0,13,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,14.130434782608695,13.0
207,720575940639831459,2,29,1,ACH,left,1241.0,1492.0,0,2,0,29,-29,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.3368251410153102,14.5
208,720575940640839120,1,40,1,GLUT,left,1886.0,1095.0,0,1,0,40,-40,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.1208907741251326,40.0
209,720575940642088333,1,12,1,SER,right,27.0,29.0,0,1,0,12,-12,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,44.44444444444444,12.0
210,720575940642715040,1,19,1,GLUT,left,439.0,378.0,1,0,19,0,19,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,4.328018223234624,19.0
211,720575940643065032,2,51,1,ACH,right,123.0,185.0,0,2,0,51,-51,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,41.46341463414634,25.5
212,720575940643703831,1,34,1,ACH,left,198.0,140.0,0,1,0,34,-34,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,17.17171717171717,34.0
213,720575940645045527,1,18,1,ACH,left,1495.0,309.0,0,1,0,18,-18,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.2040133779264213,18.0
214,720575940645527918,1,16,1,ACH,right,6765.0,27.0,0,1,0,16,-16,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.23651145602365115,16.0
215,720575940645972276,1,11,1,ACH,left,1310.0,1691.0,0,1,0,11,-11,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.8396946564885497,11.0
216,720575940646250804,2,22,1,,right,110.0,59.0,0,2,0,22,-22,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,20.0,11.0
217,720575940647033396,1,20,1,GABA,right,1836.0,690.0,1,0,20,0,20,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.0893246187363834,20.0
218,720575940652490742,1,12,1,ACH,left,345.0,625.0,1,0,12,0,12,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.4782608695652173,12.0
219,720575940652580086,2,72,1,GABA,left,1901.0,1059.0,0,2,0,72,-72,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.787480273540242,36.0
220,720575940654925985,2,25,1,ACH,left,1570.0,1710.0,2,0,25,0,25,non activated,low salt,non activated,non activated,non activated,non activated,activated,activated,activated,1.5923566878980893,12.5
221,720575940660223873,2,41,1,ACH,left,1407.0,2354.0,0,2,0,41,-41,non activated,low salt,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.9140014214641083,20.5
