,root_id,upstream_bitter_GRNs,bitter_syn_count,const,nt_type,side,input_synapses,output_synapses,activation_25Hz,label,activation_50Hz,activation_75Hz,activation_100Hz,activation_125Hz,activation_150Hz,activation_175Hz,activation_200Hz,%_bitter_input,avg_upstream_synapses,neuron_type,#_projection_synapses
45,720575940628024107,3,16,1,ACH,left,171.0,328.0,non activated,bitter,non activated,non activated,activated,activated,activated,activated,activated,9.35672514619883,5.333333333333333,projection,191
46,720575940628683063,5,57,1,ACH,left,1194.0,1050.0,activated,bitter,activated,activated,activated,activated,activated,activated,activated,4.773869346733668,11.4,local,0
47,720575940629481516,1,10,1,SER,right,78.0,183.0,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,12.82051282051282,10.0,local,0
48,720575940630575943,2,11,1,ACH,left,377.0,156.0,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,activated,2.9177718832891246,5.5,local,0
49,720575940630686060,2,11,1,ACH,right,98.0,250.0,non activated,bitter,non activated,non activated,non activated,activated,activated,activated,activated,11.224489795918368,5.5,projection,106
50,720575940630999493,4,25,1,GABA,left,1035.0,1707.0,non activated,bitter,non activated,activated,activated,activated,activated,activated,activated,2.4154589371980677,6.25,local,0
51,720575940631092943,3,22,1,GLUT,right,3020.0,1927.0,non activated,bitter,non activated,non activated,non activated,non activated,non activated,activated,activated,0.728476821192053,7.333333333333333,local,0
52,720575940632556831,3,37,1,ACH,left,607.0,448.0,non activated,bitter,non activated,activated,activated,activated,activated,activated,activated,6.095551894563426,12.333333333333334,projection,286
53,720575940634788247,5,56,1,ACH,left,440.0,186.0,non activated,bitter,activated,activated,activated,activated,activated,activated,activated,12.727272727272727,11.2,local,0
54,720575940634844408,3,20,1,ACH,right,404.0,207.0,non activated,bitter,non activated,non activated,non activated,activated,activated,activated,activated,4.9504950495049505,6.666666666666667,local,0
55,720575940635210859,3,16,1,SER,left,381.0,301.0,non activated,bitter,non activated,non activated,activated,activated,activated,activated,activated,4.199475065616798,5.333333333333333,local,0
56,720575940635925615,5,32,1,,right,534.0,339.0,non activated,bitter,non activated,activated,activated,activated,activated,activated,activated,5.992509363295881,6.4,local,0
57,720575940636541285,2,13,1,ACH,left,2530.0,1468.0,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.5138339920948617,6.5,local,0
58,720575940637742150,8,74,1,ACH,left,516.0,198.0,non activated,bitter,activated,activated,activated,activated,activated,activated,activated,14.34108527131783,9.25,local,0
59,720575940637788137,3,28,1,ACH,center,459.0,157.0,non activated,bitter,non activated,activated,activated,activated,activated,activated,activated,6.1002178649237475,9.333333333333334,local,0
60,720575940638557312,8,122,1,ACH,left,499.0,190.0,activated,bitter,activated,activated,activated,activated,activated,activated,activated,24.448897795591183,15.25,local,0
61,720575940638604915,2,16,1,ACH,left,1440.0,1085.0,non activated,bitter,non activated,non activated,non activated,activated,activated,activated,activated,1.1111111111111112,8.0,local,0
62,720575940641536987,5,34,1,ACH,left,1000.0,2115.0,non activated,bitter,non activated,activated,activated,activated,activated,activated,activated,3.4000000000000004,6.8,projection,1806
63,720575940660281217,1,5,1,GABA,left,431.0,841.0,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.160092807424594,5.0,projection,583
