,root_id,upstream_bitter_2Ns,bitter_syn_count,const,nt_type,side,input_synapses,output_synapses,excitatory_number_upstream_neurons,inhibitory_number_upstream_neurons,excitatory_number_input_synapse,inhibitory_number_input_synapse,excitatory - inhibitory_number_input_synapse,activation_25Hz,label,activation_50Hz,activation_75Hz,activation_100Hz,activation_125Hz,activation_150Hz,activation_175Hz,activation_200Hz,%_bitter_input,avg_upstream_synapses,neuron_type,#_projection_synapses
32,720575940610524339,1,10,1,GABA,left,275.0,720.0,1,0,10,0,10,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.6363636363636362,10.0,local,0
33,720575940610763874,2,70,1,GABA,left,450.0,319.0,2,0,70,0,70,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,15.555555555555555,35.0,projection,267
34,720575940610773090,2,36,1,SER,right,77.0,83.0,0,2,0,36,-36,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,46.75324675324675,18.0,local,0
35,720575940610981362,1,137,1,ACH,left,535.0,1875.0,0,1,0,137,-137,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,25.607476635514022,137.0,local,0
36,720575940611167842,1,92,1,GABA,left,4386.0,2137.0,0,1,0,92,-92,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.097583219334245,92.0,local,0
37,720575940611168921,1,11,1,ACH,left,35.0,90.0,0,1,0,11,-11,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,31.428571428571427,11.0,local,0
38,720575940611184819,1,11,1,ACH,left,81.0,61.0,0,1,0,11,-11,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,13.580246913580247,11.0,local,0
39,720575940611211417,1,15,1,ACH,right,577.0,1668.0,0,1,0,15,-15,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.5996533795493932,15.0,local,0
40,720575940611366058,2,74,1,ACH,left,647.0,1321.0,0,2,0,74,-74,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,11.437403400309119,37.0,local,0
41,720575940611432305,1,14,1,GLUT,left,736.0,269.0,0,1,0,14,-14,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.9021739130434785,14.0,local,0
42,720575940611659378,1,11,1,ACH,left,515.0,232.0,0,1,0,11,-11,non activated,bitter,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.1359223300970873,11.0,local,0
