,root_id,upstream_water_2Ns,water_syn_count,const,nt_type,side,input_synapses,output_synapses,excitatory_number_upstream_neurons,inhibitory_number_upstream_neurons,excitatory_number_input_synapse,inhibitory_number_input_synapse,excitatory - inhibitory_number_input_synapse,activation_25Hz,label,activation_50Hz,activation_75Hz,activation_100Hz,activation_125Hz,activation_150Hz,activation_175Hz,activation_200Hz,%_water_input,avg_upstream_synapses
282,720575940636828334,1,39,1,ACH,left,3397.0,1748.0,1,0,39,0,39,non activated,water,non activated,non activated,activated,activated,activated,activated,activated,1.1480718280836033,39.0
283,720575940637165028,1,11,1,ACH,right,34.0,148.0,0,1,0,11,-11,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,32.35294117647059,11.0
284,720575940637603038,1,24,1,ACH,right,1069.0,259.0,1,0,24,0,24,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.245088868101029,24.0
285,720575940637686750,3,39,1,GABA,right,1403.0,1837.0,0,3,0,39,-39,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.7797576621525306,13.0
286,720575940638011994,2,29,1,SER,right,35.0,7.0,0,2,0,29,-29,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,82.85714285714286,14.5
287,720575940638024794,2,122,1,ACH,left,2190.0,1861.0,0,2,0,122,-122,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,5.570776255707763,61.0
288,720575940638183652,2,27,1,ACH,left,222.0,624.0,0,2,0,27,-27,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,12.162162162162163,13.5
289,720575940638608803,2,41,1,ACH,left,98.0,349.0,0,2,0,41,-41,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,41.83673469387755,20.5
290,720575940638663221,1,13,1,ACH,left,914.0,1181.0,1,0,13,0,13,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.4223194748358863,13.0
291,720575940638691200,1,20,1,DA,left,122.0,107.0,1,0,20,0,20,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,16.39344262295082,20.0
292,720575940639043280,3,47,1,ACH,left,271.0,443.0,0,3,0,47,-47,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,17.343173431734318,15.666666666666666
293,720575940639285949,1,43,1,GABA,left,1887.0,1766.0,1,0,43,0,43,non activated,water,non activated,non activated,non activated,activated,activated,activated,activated,2.278749337572867,43.0
294,720575940639301027,1,23,1,ACH,left,466.0,579.0,1,0,23,0,23,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,4.935622317596566,23.0
295,720575940639309390,1,12,1,DA,left,97.0,75.0,1,0,12,0,12,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,12.371134020618557,12.0
296,720575940639693373,1,14,1,ACH,left,375.0,491.0,1,0,14,0,14,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.733333333333334,14.0
297,720575940639765309,1,11,1,ACH,left,5076.0,140.0,1,0,11,0,11,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.21670606776989756,11.0
298,720575940639785379,1,32,1,ACH,left,714.0,602.0,1,0,32,0,32,non activated,water,non activated,non activated,non activated,non activated,non activated,activated,activated,4.481792717086835,32.0
299,720575940639830179,2,29,1,ACH,right,1138.0,1552.0,0,2,0,29,-29,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.5483304042179262,14.5
300,720575940639831459,2,27,1,ACH,left,1241.0,1492.0,0,2,0,27,-27,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.17566478646253,13.5
301,720575940639994456,2,233,1,GLUT,left,2023.0,2459.0,0,2,0,233,-233,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,11.517548195748887,116.5
302,720575940640125312,1,10,1,ACH,left,210.0,136.0,1,0,10,0,10,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,4.761904761904762,10.0
303,720575940640469848,1,26,1,ACH,right,560.0,374.0,1,0,26,0,26,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,4.642857142857143,26.0
304,720575940640839120,1,14,1,GLUT,left,1886.0,1095.0,0,1,0,14,-14,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.7423117709437964,14.0
305,720575940641648091,2,73,1,ACH,left,3724.0,2046.0,0,2,0,73,-73,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.9602577873254565,36.5
306,720575940643867296,3,120,1,GABA,left,7116.0,5610.0,1,2,33,87,-54,non activated,water,non activated,non activated,non activated,non activated,non activated,activated,activated,1.6863406408094435,40.0
307,720575940644361508,1,11,1,ACH,left,1450.0,1937.0,1,0,11,0,11,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.7586206896551724,11.0
