,root_id,upstream_water_GRNs,water_syn_count,const,nt_type,side,input_synapses,output_synapses,activation_25Hz,label,activation_50Hz,activation_75Hz,activation_100Hz,activation_125Hz,activation_150Hz,activation_175Hz,activation_200Hz,%_water_input,avg_upstream_synapses,neuron_type,#_projection_synapses
39,720575940633277209,1,10,1,GABA,right,1343.0,1859.0,non activated,water,non activated,activated,activated,activated,activated,activated,activated,0.7446016381236039,10.0,local,0
40,720575940634093337,4,22,1,ACH,right,584.0,1188.0,non activated,water,non activated,non activated,activated,activated,activated,activated,activated,3.767123287671233,5.5,local,0
41,720575940634788247,2,14,1,ACH,left,440.0,186.0,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.1818181818181817,7.0,local,0
42,720575940636346487,2,15,1,ACH,left,1114.0,746.0,non activated,water,non activated,non activated,activated,activated,activated,activated,activated,1.3464991023339317,7.5,local,0
43,720575940636541285,2,10,1,ACH,left,2530.0,1468.0,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.3952569169960474,5.0,local,0
44,720575940637742150,1,6,1,ACH,left,516.0,198.0,non activated,water,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.1627906976744187,6.0,local,0
45,720575940637763135,2,15,1,GABA,right,332.0,927.0,non activated,water,activated,activated,activated,activated,activated,activated,activated,4.518072289156627,7.5,local,0
46,720575940638103349,1,8,1,ACH,left,2088.0,1389.0,non activated,water,non activated,activated,activated,activated,activated,activated,activated,0.38314176245210724,8.0,local,0
47,720575940639274147,15,272,1,ACH,left,970.0,756.0,activated,water,activated,activated,activated,activated,activated,activated,activated,28.04123711340206,18.133333333333333,local,0
48,720575940641366517,12,126,1,GABA,right,564.0,1469.0,activated,water,activated,activated,activated,activated,activated,activated,activated,22.340425531914892,10.5,local,0
49,720575940647033396,1,5,1,GABA,right,1836.0,690.0,non activated,water,non activated,non activated,non activated,non activated,non activated,activated,activated,0.27233115468409586,5.0,local,0
50,720575940655014049,17,206,1,ACH,left,1357.0,765.0,activated,water,activated,activated,activated,activated,activated,activated,activated,15.18054532056006,12.117647058823529,local,0
