,root_id,upstream_sugar_2Ns,sugar_syn_count,const,nt_type,side,input_synapses,output_synapses,excitatory_number_upstream_neurons,inhibitory_number_upstream_neurons,excitatory_number_input_synapse,inhibitory_number_input_synapse,excitatory - inhibitory_number_input_synapse,activation_25Hz,label,activation_50Hz,activation_75Hz,activation_100Hz,activation_125Hz,activation_150Hz,activation_175Hz,activation_200Hz,%_sugar_input,avg_upstream_synapses,neuron_type,#_projection_synapses
328,720575940630579574,6,271,1,ACH,left,2015.0,2079.0,5,1,236,35,201,activated,sugar,activated,activated,activated,activated,activated,activated,activated,13.449131513647641,45.166666666666664,local,0
329,720575940630589036,1,24,1,GLUT,left,2490.0,1815.0,0,1,0,24,-24,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.9638554216867471,24.0,local,0
330,720575940630605881,1,12,1,GABA,left,235.0,272.0,1,0,12,0,12,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,5.106382978723404,12.0,local,0
331,720575940630674038,1,10,1,ACH,left,695.0,1689.0,1,0,10,0,10,non activated,sugar,activated,activated,activated,activated,activated,activated,activated,1.4388489208633095,10.0,local,0
332,720575940630691958,3,347,1,GABA,left,3659.0,3553.0,0,3,0,347,-347,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,9.48346542771249,115.66666666666667,local,0
333,720575940630695798,1,44,1,GLUT,left,929.0,42.0,1,0,44,0,44,non activated,sugar,activated,activated,activated,activated,activated,activated,activated,4.736275565123789,44.0,local,0
334,720575940630720763,1,10,1,ACH,right,1840.0,1006.0,1,0,10,0,10,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.5434782608695652,10.0,projection,807
335,720575940630771449,4,71,1,ACH,right,3057.0,1777.0,3,1,61,10,51,non activated,sugar,activated,activated,activated,activated,activated,activated,activated,2.3225384363755315,17.75,local,0
336,720575940630781433,1,12,1,GABA,right,3736.0,33.0,0,1,0,12,-12,activated,sugar,activated,activated,activated,activated,activated,activated,activated,0.32119914346895073,12.0,local,0
337,720575940630839371,1,14,1,GABA,left,1751.0,1491.0,1,0,14,0,14,non activated,sugar,non activated,activated,activated,activated,activated,activated,activated,0.799543118218161,14.0,local,0
338,720575940630868793,1,29,1,GLUT,right,6063.0,212.0,1,0,29,0,29,non activated,sugar,activated,activated,activated,activated,activated,activated,activated,0.4783110671284842,29.0,local,0
339,720575940630968335,2,30,1,,right,79.0,94.0,0,2,0,30,-30,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,37.9746835443038,15.0,local,0
340,720575940630991311,5,190,1,GLUT,right,777.0,1563.0,0,5,0,190,-190,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,24.45302445302445,38.0,local,0
341,720575940630993194,1,16,1,ACH,left,256.0,1392.0,0,1,0,16,-16,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,6.25,16.0,projection,976
342,720575940631072587,1,19,1,ACH,left,3165.0,1146.0,1,0,19,0,19,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.6003159557661927,19.0,projection,448
343,720575940631092943,3,46,1,GLUT,right,3020.0,1927.0,0,2,0,29,-29,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.5231788079470199,15.333333333333334,local,0
344,720575940631108303,1,13,1,GABA,left,1552.0,1653.0,0,1,0,13,-13,non activated,sugar,activated,activated,activated,activated,activated,activated,activated,0.8376288659793815,13.0,local,0
345,720575940631168057,4,96,1,GABA,left,1625.0,1344.0,4,0,96,0,96,non activated,sugar,activated,activated,activated,activated,activated,activated,activated,5.907692307692307,24.0,local,0
346,720575940631280721,1,16,1,ACH,right,727.0,1082.0,1,0,16,0,16,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.200825309491059,16.0,local,0
347,720575940631284511,1,13,1,ACH,right,39.0,120.0,0,1,0,13,-13,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,33.33333333333333,13.0,local,0
348,720575940631328763,2,26,1,GABA,left,1667.0,1220.0,0,2,0,26,-26,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.5596880623875224,13.0,local,0
349,720575940631393484,1,16,1,ACH,left,23.0,82.0,0,1,0,16,-16,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,69.56521739130434,16.0,local,0
350,720575940631406411,3,55,1,GABA,left,2651.0,2575.0,3,0,55,0,55,non activated,sugar,activated,activated,activated,activated,activated,activated,activated,2.0746887966804977,18.333333333333332,local,0
351,720575940631448874,1,18,1,GABA,left,921.0,920.0,1,0,18,0,18,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.9543973941368076,18.0,projection,640
352,720575940631629160,3,49,1,ACH,right,951.0,277.0,3,0,49,0,49,non activated,sugar,non activated,activated,activated,activated,activated,activated,activated,5.152471083070452,16.333333333333332,local,0
353,720575940631662648,2,124,1,ACH,right,1340.0,44.0,1,1,19,105,-86,non activated,sugar,activated,activated,activated,activated,activated,activated,activated,9.253731343283581,62.0,local,0
354,720575940631714119,3,106,1,GABA,right,1231.0,1972.0,3,0,106,0,106,non activated,sugar,activated,activated,activated,activated,activated,activated,activated,8.610885458976442,35.333333333333336,projection,269
355,720575940631787693,1,16,1,GABA,left,436.0,141.0,0,1,0,16,-16,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.669724770642202,16.0,local,0
356,720575940631918649,3,83,1,GABA,right,2671.0,1860.0,3,0,83,0,83,activated,sugar,activated,activated,activated,activated,activated,activated,activated,3.1074503931111943,27.666666666666668,projection,25
357,720575940631959097,5,352,1,ACH,left,3915.0,1701.0,5,0,352,0,352,activated,sugar,activated,activated,activated,activated,activated,activated,activated,8.991060025542783,70.4,local,0
358,720575940631967506,2,25,1,GABA,right,2501.0,1452.0,1,1,14,11,3,non activated,sugar,non activated,activated,activated,non activated,activated,activated,activated,0.9996001599360257,12.5,projection,768
359,720575940631989352,2,22,1,GABA,left,1146.0,2233.0,1,1,10,12,-2,non activated,sugar,non activated,activated,activated,activated,activated,activated,activated,1.9197207678883073,11.0,local,0
360,720575940631994728,4,152,1,GABA,left,2957.0,2643.0,3,1,52,100,-48,non activated,sugar,activated,activated,activated,activated,activated,activated,activated,5.140344944200203,38.0,local,0
361,720575940631997032,3,50,1,ACH,left,2764.0,2015.0,3,0,50,0,50,activated,sugar,activated,activated,activated,activated,activated,activated,activated,1.808972503617945,16.666666666666668,local,0
362,720575940632146340,1,12,1,ACH,right,62.0,132.0,0,1,0,12,-12,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,19.35483870967742,12.0,local,0
363,720575940632159519,1,27,1,,right,1214.0,1501.0,1,0,27,0,27,activated,sugar,activated,activated,activated,activated,activated,activated,activated,2.224052718286656,27.0,local,0
364,720575940632178892,1,30,1,ACH,right,772.0,294.0,1,0,30,0,30,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.8860103626943006,30.0,local,0
365,720575940632252743,1,31,1,ACH,left,3711.0,1952.0,1,0,31,0,31,activated,sugar,activated,activated,activated,activated,activated,activated,activated,0.8353543519267044,31.0,local,0
366,720575940632280391,2,41,1,ACH,right,2214.0,1498.0,0,2,0,41,-41,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.8518518518518516,20.5,local,0
367,720575940632305711,3,91,1,GABA,left,1292.0,2211.0,0,3,0,91,-91,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,7.043343653250774,30.333333333333332,local,0
368,720575940632307025,1,16,1,GABA,left,1720.0,398.0,0,1,0,16,-16,non activated,sugar,non activated,non activated,activated,activated,activated,activated,activated,0.9302325581395349,16.0,projection,107
369,720575940632354641,1,16,1,GABA,left,443.0,1280.0,1,0,16,0,16,non activated,sugar,non activated,non activated,non activated,non activated,activated,activated,activated,3.611738148984198,16.0,local,0
370,720575940632365905,2,97,1,ACH,left,722.0,1547.0,2,0,97,0,97,non activated,sugar,activated,activated,activated,activated,activated,activated,activated,13.434903047091412,48.5,local,0
371,720575940632486969,5,378,1,ACH,left,8726.0,2482.0,1,3,14,353,-339,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,4.331881732752693,75.6,local,0
372,720575940632602532,2,56,1,ACH,left,1941.0,2336.0,2,0,56,0,56,non activated,sugar,activated,activated,activated,activated,activated,activated,activated,2.8851107676455436,28.0,local,0
373,720575940632640287,1,11,1,ACH,right,388.0,1299.0,0,0,0,0,0,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.8350515463917527,11.0,local,0
374,720575940632659404,4,100,1,GABA,left,3231.0,1065.0,2,2,77,23,54,non activated,sugar,non activated,activated,activated,activated,activated,activated,activated,3.095017022593624,25.0,projection,377
375,720575940632664268,1,16,1,,left,673.0,574.0,1,0,16,0,16,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,2.37741456166419,16.0,local,0
376,720575940632670156,1,10,1,ACH,right,263.0,296.0,1,0,10,0,10,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.802281368821293,10.0,projection,188
377,720575940632722771,5,233,1,GABA,left,2102.0,5.0,5,0,233,0,233,activated,sugar,activated,activated,activated,activated,activated,activated,activated,11.084681255946718,46.6,local,0
378,720575940632726220,1,36,1,GABA,right,989.0,1949.0,0,1,0,36,-36,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.640040444893832,36.0,local,0
379,720575940632726988,1,16,1,ACH,left,1242.0,1239.0,1,0,16,0,16,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,1.288244766505636,16.0,local,0
380,720575940632873261,2,74,1,ACH,right,1137.0,951.0,0,2,0,74,-74,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,6.508355321020229,37.0,local,0
381,720575940632880173,2,65,1,ACH,right,91.0,27.0,0,2,0,65,-65,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,71.42857142857143,32.5,local,0
382,720575940632960813,1,17,1,ACH,right,2201.0,1002.0,1,0,17,0,17,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.7723761926397091,17.0,local,0
383,720575940633065901,2,38,1,GABA,right,274.0,932.0,0,2,0,38,-38,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,13.86861313868613,19.0,local,0
384,720575940633165980,1,15,1,ACH,right,431.0,1006.0,0,1,0,15,-15,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,3.480278422273782,15.0,local,0
385,720575940633170969,1,15,1,GLUT,left,3461.0,1592.0,0,0,0,0,0,non activated,sugar,non activated,non activated,non activated,non activated,non activated,non activated,non activated,0.43340075122796884,15.0,local,0
386,720575940633185567,1,193,1,GABA,left,6252.0,10.0,1,0,193,0,193,activated,sugar,activated,activated,activated,activated,activated,activated,activated,3.087012156110045,193.0,local,0
387,720575940633293025,1,24,1,GABA,left,1874.0,1394.0,1,0,24,0,24,non activated,sugar,activated,activated,activated,activated,activated,activated,activated,1.2806830309498398,24.0,local,0
388,720575940633316563,2,26,1,ACH,left,3183.0,1636.0,1,1,13,13,0,non activated,sugar,activated,activated,activated,activated,activated,activated,activated,0.8168394596292806,13.0,projection,1322
